Title,Year,Released,imdbRating
Tanhaji: The Unsung Warrior,2020,10 Jan 2020,7.5
Baaghi 3,2020,06 Mar 2020,2.1
Street Dancer 3D,2020,24 Jan 2020,3.6
Shubh Mangal Zyada Saavdhan,2020,21 Feb 2020,5.8
Malang,2020,07 Feb 2020,6.5
Chhapaak,2020,10 Jan 2020,5.3
Love Aaj Kal,2009,31 Jul 2009,6.8
Jawaani Jaaneman,2020,31 Jan 2020,6.5
Thappad,2020,28 Feb 2020,7.1
Panga,2020,24 Jan 2020,6.8
Ghost Stories,2017,20 Apr 2018,6.4
Bhangra Paa Le,2020,03 Jan 2020,6.2
Sab Kushal Mangal,2020,03 Jan 2020,4.3
Shimla Mirchi,2020,03 Jan 2020,4.6
Half Widow,2017,11 Dec 2015,8.1
Bunker,2020,17 Jan 2020,7.0
Jai Mummy Di,2020,17 Jan 2020,3.7
Gul Makai,2020,24 Jan 2020,2.4
Happy Hardy and Heer,2020,31 Jan 2020,5.6
Pagleaazam,2020,31 Jan 2020,N/A
Operation Parindey,2020,07 Mar 2020,4.7
Hacked,2020,07 Feb 2020,4.3
Kaanchli Life in a Slough,2020,07 Feb 2020,7.1
Yahan Sabhi Gyani Hain,2020,07 Feb 2020,4.9
Shikara,2020,07 Feb 2020,3.3
Shukranu,2020,14 Feb 2020,6.4
Bhoot: Part One - The Haunted Ship,2020,21 Feb 2020,5.4
The Hundred Bucks,2020,21 Feb 2020,6.4
Yeh Ballet,2020,24 Feb 2020,7.5
Doordarshan,2020,28 Feb 2020,6.1
Guns of Banaras,2020,28 Feb 2020,5.9
Haunted Hills,2020,28 Feb 2020,6.8
O Pushpa I Hate Tears,2020,28 Feb 2020,N/A
Dheet Patangey,2020,02 Mar 2020,7.3
Guilty,2020,06 Mar 2020,5.4
Kaamyaab,1984,N/A,5.5
Angrezi Medium,2020,13 Mar 2020,7.2
Maska,2020,30 Mar 2020,5.8
Bamfaad,2020,10 Apr 2020,7.4
Ateet,2020,21 Apr 2020,4.3
Mrs. Serial Killer,2020,01 May 2020,4.2
Court Martial,1954,25 Apr 1955,7.0
What are the Odds,2020,10 Jul 2020,N/A
Ghoomketu,2020,22 May 2020,5.6
Chippa,2019,01 Jun 2020,6.4
Chintu Ka Birthday,2020,05 Jun 2020,7.7
Choked,2020,05 Jun 2020,5.7
Axone,2019,12 Jun 2020,6.9
Gulabo Sitabo,2020,12 Jun 2020,6.3
Kadakh,2019,18 Jun 2020,6.9
Chaman Bahaar,2020,19 Jun 2020,6.9
Bulbbul,2020,24 Jun 2020,6.5
Bhonsle,2018,26 Jun 2020,6.8
Unlock,2020,27 Jun 2020,N/A
Virgin Bhanupriya,2020,16 Jul 2020,2.8
Dil Bechara,2020,24 Jul 2020,8.1
Yaara,2020,30 Jul 2020,6.2
Shakuntala Devi,2020,31 Jul 2020,6.1
Lootcase,2020,31 Jul 2020,7.6
Raat Akeli Hai,2020,31 Jul 2020,7.2
Pareeksha,2020,06 Aug 2020,8.1
Gunjan Saxena: The Kargil Girl,2020,12 Aug 2020,5.5
Khuda Haafiz,2020,14 Aug 2020,7.2
Captain Vidyut,2020,27 Nov 2020,7.5
Class of '83,2020,21 Aug 2020,5.8
Mee Raqsam,2020,21 Aug 2020,6.7
Sadak 2,2020,28 Aug 2020,1.1
Ram Singh Charlie,2020,28 Aug 2020,7.9
Atkan Chatkan,2020,05 Sep 2020,7.7
Cargo,2017,18 May 2018,6.3
Halahal,2020,21 Sep 2020,7.0
Khaali Peeli,2020,02 Oct 2020,2.4
Serious Men,2020,02 Oct 2020,6.8
Ginny Weds Sunny,2020,09 Oct 2020,5.7
The Pickup Artist,2007â€“,06 Aug 2007,6.8
Comedy Couple,2020,21 Oct 2020,7.4
Kasaai,2019,23 Oct 2020,6.5
Taish,2020,29 Oct 2020,7.4
Kaali Khuhi,2020,30 Oct 2020,3.5
Pepper Chicken,2020,06 Nov 2020,6.6
Laxmii,2020,09 Nov 2020,2.6
Ludo,2020,12 Nov 2020,7.6
Chhalaang,2020,13 Nov 2020,6.8
Namumkin Tere Bin Jeena,2020,27 Nov 2020,5.1
Sir,2018,13 Nov 2020,7.7
Suraj Pe Mangal Bhari,2020,15 Nov 2020,5.9
Darbaan,2020,04 Dec 2020,7.4
Durgamati: The Myth,2020,11 Dec 2020,4.0
Indoo Ki Jawani,2020,11 Dec 2020,3.3
Nirvana Inn,2019,01 Aug 2019,5.7
Torbaaz,2020,11 Dec 2020,6.9
Eeb Allay Ooo!,2019,18 Dec 2020,7.2
Sayonee,2020,18 Dec 2020,6.7
Omprakash Zindabad,2020,18 Dec 2020,N/A
Unpaused,2020,18 Dec 2020,7.0
AK vs AK,2020,24 Dec 2020,6.9
Coolie No. 1,2020,24 Dec 2020,4.2
Shakeela,2020,25 Dec 2020,3.3
